state,hospital_count,avg_star_rating,median_star_rating,pct_penalized,avg_readmission_rate,avg_mspb_score,total_discharges,pct_nonprofit,pct_forprofit,pct_government,hhs_region
AK,25,2.88,3.0,0.75,0.16121428571428573,0.8662,4031.0,0.36,0.08,0.28,Region 10
AL,102,2.57,2.0,0.6794871794871795,0.18009999999999998,0.9897,35359.0,0.2353,0.3137,0.4216,Region 4
AR,90,2.62,3.0,0.813953488372093,0.17295588235294118,1.0383,31133.0,0.6333,0.2,0.1333,Region 6
AS,1,,,,,,0.0,0.0,0.0,1.0,Region 9
AZ,106,3.02,3.0,0.7619047619047619,0.15968823529411766,0.958,41874.0,0.4717,0.3208,0.1038,Region 9
CA,378,3.01,3.0,0.8050541516245487,0.1892917808219178,1.0071,175199.0,0.5317,0.254,0.172,Region 9
CO,98,3.87,4.0,0.5098039215686274,0.15815142857142858,0.9808,17494.0,0.5408,0.1327,0.2959,Region 8
CT,37,3.19,3.0,0.8518518518518519,0.17564166666666667,0.9865,29613.0,0.7027,0.1081,0.1622,Region 1
DC,10,2.29,3.0,1.0,0.19721666666666668,1.0,5868.0,0.5,0.3,0.1,Region 3
DE,13,3.43,3.0,0.5,0.16043333333333334,1.0267,11814.0,0.5385,0.3077,0.0769,Region 3
FL,221,2.83,3.0,0.8982035928143712,0.18554387096774194,1.0198,194338.0,0.4434,0.3756,0.1357,Region 4
GA,149,2.68,3.0,0.7684210526315789,0.18098815789473685,0.9762,60608.0,0.3423,0.2282,0.3893,Region 4
GU,2,2.0,2.0,,,,0.0,0.5,0.0,0.5,Region 9
HI,24,3.09,3.0,0.8181818181818182,0.16041111111111112,0.9027,5074.0,0.5,0.0833,0.375,Region 9
IA,118,3.02,3.0,0.6333333333333333,0.15370384615384614,0.945,24155.0,0.5169,0.0254,0.4322,Region 7
ID,48,3.59,4.0,0.375,0.12082727272727273,0.9713,6972.0,0.4583,0.1875,0.3125,Region 10
IL,194,2.91,3.0,0.8771929824561403,0.19239029126213592,0.9996,116936.0,0.7216,0.0928,0.1546,Region 5
IN,149,3.33,3.0,0.7654320987654321,0.17134848484848483,1.0065,62294.0,0.5772,0.2081,0.1745,Region 5
KS,139,3.45,4.0,0.5116279069767442,0.13769696969696968,0.9781,26947.0,0.3813,0.1007,0.4604,Region 7
KY,103,2.71,2.5,0.8135593220338984,0.18830943396226413,1.0047,40351.0,0.6019,0.2039,0.165,Region 4
LA,160,2.9,3.0,0.7037037037037037,0.18125000000000002,1.0858,30808.0,0.2688,0.375,0.2625,Region 6
MA,83,3.21,3.0,0.8909090909090909,0.18212499999999998,0.9808,89270.0,0.5904,0.2651,0.1084,Region 1
MD,56,3.1,3.0,0.8604651162790697,0.1756,,53546.0,0.8571,0.0179,0.0714,Region 3
ME,38,3.05,3.0,0.6,0.16399999999999998,0.9436,7472.0,0.7368,0.0789,0.1579,Region 1
MI,147,2.99,3.0,0.7666666666666667,0.1854635135135135,0.9439,71981.0,0.6939,0.1429,0.1361,Region 5
MN,136,3.8,4.0,0.7391304347826086,0.15857142857142856,0.9109,26334.0,0.6838,0.0074,0.2941,Region 5
MO,121,3.1,3.0,0.9365079365079365,0.17676964285714286,0.9846,51843.0,0.5537,0.1405,0.2645,Region 7
MP,1,,,,,,0.0,1.0,0.0,0.0,
MS,106,2.49,2.0,0.7413793103448276,0.17878750000000002,1.0058,30072.0,0.3019,0.2547,0.4151,Region 4
MT,63,3.62,4.0,0.7272727272727273,0.1331,0.92,7481.0,0.7937,0.0159,0.1587,Region 8
NC,120,3.01,3.0,0.8125,0.17347432432432433,0.9534,78794.0,0.5167,0.15,0.2833,Region 4
ND,47,3.56,4.0,0.7142857142857143,0.14791666666666667,0.9629,7711.0,0.8511,0.0213,0.1064,Region 8
NE,93,3.35,3.0,0.64,0.15843157894736842,0.9804,12920.0,0.5269,0.0538,0.3763,Region 7
NH,28,3.25,3.0,0.9230769230769231,0.16356923076923074,0.9731,13810.0,0.8214,0.1429,0.0357,Region 1
NJ,78,2.9,3.0,0.9672131147540983,0.19112622950819672,1.0739,80445.0,0.7564,0.1282,0.1026,Region 2
NM,45,2.45,2.0,0.7307692307692307,0.15832142857142856,0.9342,8830.0,0.3556,0.3333,0.2889,Region 6
NV,45,2.72,3.0,0.9047619047619048,0.18660555555555558,1.0415,17323.0,0.3111,0.4444,0.1778,Region 9
NY,191,2.53,2.0,0.9,0.18875916666666667,1.0016,136365.0,0.7277,0.0262,0.1937,Region 2
OH,194,3.42,3.0,0.8461538461538461,0.1806457142857143,0.9832,88709.0,0.7216,0.1598,0.0928,Region 5
OK,135,3.3,3.0,0.6266666666666667,0.16100681818181817,0.9841,36340.0,0.3556,0.1852,0.3407,Region 6
OR,62,3.21,3.0,0.59375,0.14748076923076925,0.8809,16058.0,0.7258,0.0323,0.2097,Region 10
PA,187,3.28,3.0,0.803030303030303,0.16927168141592921,0.9834,107247.0,0.754,0.1497,0.0374,Region 3
PR,60,2.12,2.0,,,,0.0,0.4167,0.45,0.1167,Region 2
RI,13,3.36,3.0,0.5,0.15735555555555555,0.992,8235.0,0.6923,0.2308,0.0,Region 1
SC,66,3.27,3.0,0.8627450980392157,0.16985555555555557,0.9982,42598.0,0.5303,0.2576,0.1667,Region 4
SD,62,4.08,4.0,0.3888888888888889,0.11816666666666668,0.9438,8981.0,0.7258,0.0968,0.1452,Region 8
TN,123,3.02,3.0,0.7564102564102564,0.17003548387096773,1.0191,59296.0,0.3984,0.3577,0.2114,Region 4
TX,462,3.24,3.0,0.7275985663082437,0.17466958762886597,1.0323,158053.0,0.3182,0.3766,0.2446,Region 6
UT,51,4.09,4.0,0.53125,0.12732857142857143,0.9532,8341.0,0.6078,0.2941,0.0784,Region 8
VA,95,3.46,3.0,0.7746478873239436,0.17057462686567162,0.9609,76228.0,0.6316,0.2105,0.1053,Region 3
VI,2,1.0,1.0,,,,0.0,0.0,0.0,1.0,Region 2
VT,17,2.85,3.0,1.0,0.19021666666666667,0.945,4782.0,0.8824,0.0,0.0588,Region 1
WA,100,3.12,3.0,0.6739130434782609,0.15234999999999999,0.9378,38795.0,0.48,0.05,0.44,Region 10
WI,142,3.77,4.0,0.6923076923076923,0.1594857142857143,0.9217,31107.0,0.838,0.0563,0.0634,Region 5
WV,55,2.63,2.0,0.75,0.19489,1.0036,19313.0,0.6182,0.1273,0.1636,Region 3
WY,30,3.0,3.0,0.5,0.14542,0.9538,3483.0,0.1,0.1,0.7,Region 8
